Combined Log,,,,,,,N8SQL’s Log,,,,,,,KG4SGP’s Log,,,,,,
Callsign,Latitude,Longitude,Altitude,UTC Time,Voltage (Raw),CRC16,Callsign,Latitude,Longitude,Altitude,UTC Time,Voltage (Raw),CRC16,Callsign,Latitude,Longitude,Altitude,UTC Time,Voltage (Raw),CRC16
KD8ZRC,40.37712,83.05909,294.10,160909,946,DEC3,KD8ZRC,40.37712,83.05909,294.10,160909,946,DEC3,,,,,,,
KD8ZRC,40.37712,83.05908,298.90,160922,949,040E,KD8ZRC,40.37712,83.05908,298.90,160922,949,040E,,,,,,,
KD8ZRC,40.37711,83.05908,300.00,160935,949,B51A,KD8ZRC,40.37711,83.05908,300.00,160935,949,B51A,,,,,,,
KD8ZRC,40.37711,83.05908,299.90,160948,946,9CE0,KD8ZRC,40.37711,83.05908,299.90,160948,946,9CE0,,,,,,,
KD8ZRC,40.37711,83.05908,299.90,161001,947,94DF,KD8ZRC,40.37711,83.05908,299.90,161001,947,94DF,,,,,,,
KD8ZRC,40.37711,83.05908,298.60,161014,946,3320,KD8ZRC,40.37711,83.05908,298.60,161014,946,3320,,,,,,,
KD8ZRC,40.37711,83.05908,298.60,161027,945,7011,KD8ZRC,40.37711,83.05908,298.60,161027,945,7011,,,,,,,
KD8ZRC,40.37711,83.05908,299.10,161039,944,1F16,KD8ZRC,40.37711,83.05908,299.10,161039,944,1F16,,,,,,,
KD8ZRC,40.37711,83.05908,299.00,161052,943,A165,KD8ZRC,40.37711,83.05908,299.00,161052,943,A165,,,,,,,
KD8ZRC,40.37711,83.05908,299.00,161105,940,203,KD8ZRC,40.37711,83.05908,299.00,161105,940,203,,,,,,,
KD8ZRC,40.37711,83.05908,299.00,161117,939,0E2A,KD8ZRC,40.37711,83.05908,299.00,161117,939,0E2A,,,,,,,
KD8ZRC,40.37711,83.05908,298.80,161130,937,2021,KD8ZRC,40.37711,83.05908,298.80,161130,937,2021,,,,,,,
KD8ZRC,40.37711,83.05908,298.80,161142,936,8114,KD8ZRC,40.37711,83.05908,298.80,161142,936,8114,,,,,,,
KD8ZRC,40.37714,83.05907,294.60,161501,943,6AC0,KD8ZRC,40.37714,83.05907,294.60,161501,943,6AC0,,,,,,,
KD8ZRC,40.37711,83.05907,295.10,161514,935,D97F,KD8ZRC,40.37711,83.05907,295.10,161514,935,D97F,,,,,,,
KD8ZRC,40.3771,83.05907,294.30,161527,935,1BC1,KD8ZRC,40.3771,83.05907,294.30,161527,935,1BC1,,,,,,,
KD8ZRC,40.3771,83.05908,294.80,161540,935,1C7B,KD8ZRC,40.3771,83.05908,294.80,161540,935,1C7B,,,,,,,
KD8ZRC,40.37709,83.05908,294.80,161553,938,1288,KD8ZRC,40.37709,83.05908,294.80,161553,938,1288,,,,,,,
KD8ZRC,40.37708,83.05909,294.90,161605,946,E3BE,KD8ZRC,40.37708,83.05909,294.90,161605,946,E3BE,,,,,,,
KD8ZRC,40.37708,83.05909,294.90,161618,948,3693,KD8ZRC,40.37708,83.05909,294.90,161618,948,3693,,,,,,,
KD8ZRC,40.37708,83.05909,294.90,161630,948,5B32,KD8ZRC,40.37708,83.05909,294.90,161630,948,5B32,,,,,,,
KD8ZRC,40.37708,83.05909,294.90,161643,943,506C,KD8ZRC,40.37708,83.05909,294.90,161643,943,506C,,,,,,,
KD8ZRC,40.37708,83.05909,294.90,161656,950,C96F,KD8ZRC,40.37708,83.05909,294.90,161656,950,C96F,,,,,,,
KD8ZRC,40.37708,83.05908,295.00,161709,947,A265,KD8ZRC,40.37708,83.05908,295.00,161709,947,A265,,,,,,,
KD8ZRC,40.37709,83.05908,295.00,161722,948,E1FC,KD8ZRC,40.37709,83.05908,295.00,161722,948,E1FC,,,,,,,
